"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL596626";"";"None";"369.90";"0";"4.53";"16";"Cc1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(Cl)n1-c1ccccc1";"EC50";"'='";"63.1";"nM";"7.20";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1069387";"Antagonist activity at human CB2 receptor assessed as inhibition of forskolin-stimulated cAMP accumulation after 20 mins";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158524";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL597438";"";"None";"391.56";"1";"5.22";"13";"CCCCc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nc(C)n1-c1ccccc1";"EC50";"'='";"5.012";"nM";"8.30";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1069387";"Antagonist activity at human CB2 receptor assessed as inhibition of forskolin-stimulated cAMP accumulation after 20 mins";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158524";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL604120";"";"None";"349.48";"0";"4.13";"15";"CCc1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)cn1-c1ccccc1";"EC50";"'='";"12.59";"nM";"7.90";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1069387";"Antagonist activity at human CB2 receptor assessed as inhibition of forskolin-stimulated cAMP accumulation after 20 mins";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158524";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL465274";"";"None";"411.86";"1";"5.81";"8h";"O=C(NCC1CCCCC1)c1cnc(Nc2cccc(Cl)c2)cc1C(F)(F)F";"EC50";"'='";"31.62";"nM";"7.50";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1014610";"Agonist activity at human CB2 receptor expressed in yeast cells assessed as degradation of FDGlu to fluorescein after 24 hrs";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139246";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";""
"CHEMBL559612";"CP-55940";"None";"376.58";"1";"5.66";"CP55940";"CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1";"EC50";"'='";"11.0";"nM";"7.96";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2341541";"Agonist activity at human CB2 receptor expressed in CHO cell membranes assessed as increase in forskolin-stimulated cAMP production after 45 mins by TR-FRET assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331513";"1";"Scientific Literature";"ACS Med Chem Lett";"2013";"CHEMBL3308072";"";"";""
"CHEMBL596671";"";"None";"381.55";"0";"4.60";"18";"CSc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nc(C)n1-c1ccccc1";"EC50";"'='";"6.31";"nM";"8.20";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1069387";"Antagonist activity at human CB2 receptor assessed as inhibition of forskolin-stimulated cAMP accumulation after 20 mins";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158524";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL583680";"";"None";"325.45";"0";"4.69";"38";"CC1(C)C(C(=O)c2cn(C[C@H]3CCCO3)c3ccccc23)C1(C)C";"EC50";"'='";"11.0";"nM";"7.96";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1040878";"Agonist activity at human recombinant CB2 receptor expressed in HEK293 cells coexpressing Galphaq/o5 assessed as calcium mobilization by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156767";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3307715";"";"";""
"CHEMBL270987";"";"None";"475.63";"1";"6.52";"27";"COc1cc2c(cc1OCc1ccccc1)c(C(=O)C1C(C)(C)C1(C)C)cn2CC1CCOCC1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL932920";"Agonist activity at human recombinant CB2 receptor expressed in HEK cells assessed as calcium mobilization by FLIPR";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144013";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307715";"";"";""
"CHEMBL306764";"";"None";"327.43";"1";"5.74";"2, JWH-015";"CCCn1c(C)c(C(=O)c2cccc3ccccc23)c2ccccc21";"EC50";"'='";"634.0";"nM";"6.20";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL932920";"Agonist activity at human recombinant CB2 receptor expressed in HEK cells assessed as calcium mobilization by FLIPR";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144013";"1";"Scientific Literature";"J Med Chem";"2008";"CHEMBL3307715";"";"";""
"CHEMBL3891046";"";"None";"428.61";"1";"6.86";"BDBM235938";"CCCCCCC(C)(C)c1cc(OC)c(C2=C[C@@H]3CC[C@@]2(C(=O)O)C3(C)C)c(OC)c1";"EC50";"'='";"343.6";"nM";"6.46";"";"411189";"UO_0000065";"15.08";"0.28";"-0.40";"11.59";"0";"CHEMBL3888626";"[35S]GTPγS Binding Assay: Human CB2 expressing CHO-K1 membranes (5 μg per incubation mixture) were diluted in 50 mM Tris-HCl (pH 7.5) and 0.5 mM EDTA and added to HU compounds in a pre-mixed incubation cocktail. Final incubation concentrations were 55 mM Tris-HCl (pH 7.4), 1 mM EDTA, 100 mM NaCl, 5 mM MgCl2, 0.5% BSA, 50 μM GDP, 0.2 nM [35S]GTPγS (PerkinElmer) with varied HU compound concentration and 5 μg membrane. Incubations were continued for 60 minutes at 30° C. in a shaking water bath. Assays were terminated by addition of 2 ml ice cold wash buffer (50 mM Tris-HCl, pH 7.5 and 5 mM MgCl2) and filtration through pre-soaked GF/C filters (Whatman), followed by two further washes.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL253";"Cannabinoid CB2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886783";"37";"BindingDB Database";"";"2016";"None";"";"";""
