date,total_beds,occupied_beds,admissions,discharges
2024-08-19,200,196,17,12
2024-08-20,200,168,11,15
2024-08-21,200,172,12,11
2024-08-22,200,136,30,20
2024-08-23,200,160,21,11
2024-08-24,200,123,15,22
2024-08-25,200,142,18,10
2024-08-26,200,183,24,7
2024-08-27,200,164,24,20
2024-08-28,200,131,30,25
2024-08-29,200,186,16,21
2024-08-30,200,106,18,10
2024-08-31,200,102,19,17
2024-09-01,200,176,20,15
2024-09-02,200,125,19,10
2024-09-03,200,194,27,6
2024-09-04,200,164,10,15
2024-09-05,200,200,17,25
2024-09-06,200,121,30,17
2024-09-07,200,172,29,18
2024-09-08,200,146,22,13
2024-09-09,200,148,29,18
2024-09-10,200,200,17,7
2024-09-11,200,144,30,24
2024-09-12,200,111,27,21
2024-09-13,200,105,11,19
2024-09-14,200,158,12,5
2024-09-15,200,153,17,10
2024-09-16,200,132,16,24
2024-09-17,200,180,21,6
2024-09-18,200,152,30,18
2024-09-19,200,139,20,7
2024-09-20,200,193,12,22
2024-09-21,200,188,12,9
2024-09-22,200,199,10,5
2024-09-23,200,161,24,24
2024-09-24,200,146,28,8
2024-09-25,200,146,30,8
2024-09-26,200,192,30,11
2024-09-27,200,106,15,7
2024-09-28,200,124,25,14
2024-09-29,200,157,25,7
2024-09-30,200,163,10,16
2024-10-01,200,192,26,19
2024-10-02,200,197,22,10
2024-10-03,200,110,17,20
2024-10-04,200,128,30,11
2024-10-05,200,139,15,24
2024-10-06,200,136,13,16
2024-10-07,200,105,15,8
2024-10-08,200,119,25,18
2024-10-09,200,184,11,17
2024-10-10,200,168,30,14
2024-10-11,200,146,11,11
2024-10-12,200,177,15,23
2024-10-13,200,190,25,14
2024-10-14,200,184,11,11
2024-10-15,200,127,14,23
2024-10-16,200,112,13,11
2024-10-17,200,157,28,25
2024-10-18,200,117,11,22
2024-10-19,200,169,11,8
2024-10-20,200,176,16,15
2024-10-21,200,140,28,8
2024-10-22,200,167,21,12
2024-10-23,200,165,21,11
2024-10-24,200,107,27,23
2024-10-25,200,191,10,12
2024-10-26,200,132,23,9
2024-10-27,200,168,14,22
2024-10-28,200,107,19,7
2024-10-29,200,143,16,19
2024-10-30,200,183,22,15
2024-10-31,200,148,24,17
2024-11-01,200,137,21,24
2024-11-02,200,179,24,10
2024-11-03,200,119,14,22
2024-11-04,200,108,25,9
2024-11-05,200,140,15,22
2024-11-06,200,104,23,16
2024-11-07,200,107,27,19
2024-11-08,200,174,20,12
2024-11-09,200,173,13,17
2024-11-10,200,120,15,7
2024-11-11,200,197,21,10
2024-11-12,200,149,19,11
2024-11-13,200,170,20,20
2024-11-14,200,113,28,16
2024-11-15,200,121,27,24
2024-11-16,200,104,28,18
2024-11-17,200,139,10,5
2024-11-18,200,167,27,12
2024-11-19,200,174,16,8
2024-11-20,200,102,29,10
2024-11-21,200,166,11,14
2024-11-22,200,174,20,21
2024-11-23,200,143,20,8
2024-11-24,200,142,17,24
2024-11-25,200,170,23,8
2024-11-26,200,158,24,23
2024-11-27,200,148,13,6
2024-11-28,200,145,27,9
2024-11-29,200,142,13,24
2024-11-30,200,165,19,6
2024-12-01,200,180,14,20
2024-12-02,200,145,11,15
2024-12-03,200,154,21,7
2024-12-04,200,170,11,10
2024-12-05,200,106,21,22
2024-12-06,200,159,15,17
2024-12-07,200,106,22,8
2024-12-08,200,157,24,12
2024-12-09,200,195,17,11
2024-12-10,200,146,14,6
2024-12-11,200,163,10,9
2024-12-12,200,193,11,9
2024-12-13,200,169,11,22
2024-12-14,200,122,18,16
2024-12-15,200,156,22,15
